Title,Type,Rating,Vote Count,Start Date,Studio
MD Geist - The Most Dangerous Ever,OVA,7.05,66,"May 21, 1986",Zero-G Room
McDull,MOVIE,9.89,5,"Jun 24, 2004",Bliss Pictures
"McDull, Kung Fu Kindergarten",MOVIE,5.75,7,"Jul 24, 2009",Bliss Pictures
MECHA-UDE,ONA,9.08,129,"Sep 30, 2018",TriF Studio
ME & ROBOCO,TV,8.18,431,"Dec 05, 2022",Gallop
Mecha-Doc,TV,8.81,28,"Sep 01, 1984",Tatsunoko Production
Medaka Box,TV,8.98,565,"Apr 05, 2012",Gainax
Medabots,TV,8.62,62,"Jul 02, 1999",Bee Train
Medabots Spirits,TV,6.55,26,"Jul 07, 2000",Trans Arts
Mega Man Star Force,TV,8.81,97,"Oct 07, 2006",Xebec
Medaka Box Abnormal,TV,9.1,331,"Oct 11, 2012",Gainax
Medama Oyaji no April Fools',SPECIAL,6.04,11,"Apr 01, 2018",Toei Animation
Mega Man: Upon a Star,OVA,8.32,20,"Sep 20, 2002",Ashi Productions
Mega Man Star Force Tribe,TV,8.42,40,"Nov 03, 2007",Xebec
Mega Man X - The Day of Sigma,OVA,8.73,23,"Dec 15, 2005",Xebec
Megalobox,TV,9.13,2197,"Apr 06, 2018",TMS Entertainment
Mega Minimals,TV,3.5,2,2012,add some
Megalo Box 2: The Hummingbird and the Nomad,SPECIAL,8.87,47,"Jul 28, 2021",TMS Entertainment
MegaMan: NT Warrior AXESS,TV,9.03,69,"Oct 04, 2003",Xebec
MEGALOBOX 2: NOMAD,TV,9.01,2596,"Apr 04, 2021",TMS Entertainment
MegaMan NT Warrior,TV,9.04,129,"Mar 04, 2002",Xebec
Megane na Kanojo,OVA,6.69,31,"Nov 25, 2010",AIC Takarazuka
Megami Kouhosei Special Curriculum,OVA,4.71,8,"May 25, 2002",Xebec
Megami Tengoku,OVA,6.29,22,"Jun 07, 1995",Animate Film
Megaton-kyuu Musashi Season 2,TV,7.53,138,"Oct 07, 2022",OLM
MEGANEBU!,TV,9.33,19,"Oct 07, 2013",Studio Deen
Megaton-kyuu Musashi,TV,7.37,446,"Oct 01, 2021",OLM
Mei and the Baby Cat Bus,SPECIAL,8.91,74,"Oct 01, 2002",Studio Ghibli
Megazone 23,OVA,8.43,55,"Mar 09, 1985",Artland
Megumi,ONA,5.5,2,"Mar 28, 2008",Trans Arts
Mei Chuxi De Yinyangshi Yijia 3,ONA,7.17,7,"Sep 30, 2021",Green Monster Team
Mei Chuxi De Yinyangshi Yijia,ONA,8.49,24,"Apr 27, 2019",Green Monster Team
Mei Chuxi De Yinyangshi Yijia 2,ONA,8.43,35,"Jul 15, 2020",Green Monster Team
Mein Family Daily,ONA,7,4,"Jul 01, 2021",Shanghai Animation Film Studio
Meiji Tokyo Renka,TV,8.76,604,"Jan 09, 2019",TMS Entertainment
Meiji Tokyo Renka: Yumihari no Serenade,MOVIE,8.4,73,"Jul 18, 2015",Studio Deen
Meitantei Conan: Haibara Ai Monogatari - Kurogane no Mystery Train,MOVIE,8.67,73,"Jan 06, 2023",TMS Entertainment
Meisou-Ou Border,OVA,4.83,6,"Sep 01, 1991",Artland
Meisou! Underworld,ONA,8.38,5,"Apr 15, 2014",Pierrot
Meitantei Hangyodon: Kaitou Ruzu Arawaruno-kan,OVA,8.2,5,"Jun 21, 1993",Sanrio
Meitantei Conan: Kieta Daiya wo Oe! Conan & Heiji vs Kid!,OVA,8.96,22,"Mar 15, 2006",TMS Entertainment
Meitantei Gordon,ONA,8.66,49,Jun 2006,add some
Melty Lancer THE ANIMATION,OVA,7.13,10,"May 25, 1999",Gonzo
MEKAKUCITY ACTORS,TV,8.67,467,"Apr 13, 2014",Shaft
Melody of Oblivion,TV,7.75,30,"Apr 07, 2004",Gainax
Memories Off 2nd,OVA,6.21,10,"Jan 22, 2003",Picture Magic
Memories,MOVIE,8.78,227,"Dec 23, 1995",Madhouse
Memories Off,OVA,8.18,12,"Nov 21, 2001",E&G Films
Memory,MOVIE,7.46,24,"Sep 21, 1964",Mushi Production
Memories Off 3.5: Omoide no Kanata e,OVA,7.67,7,"May 12, 2004",Picture Magic
Memories Off 5: Togireta Film THE ANIMATION,OVA,4.88,7,"Mar 29, 2006",Doga Kobo
Memory of Chang'an 2nd Season,ONA,8.75,216,"Apr 15, 2021",Lingsanwu Animation
Memory (ONA),ONA,6.46,15,Apr 2009,add some
Memory of Chang'an,ONA,8.61,221,"Oct 28, 2020",Lingsanwu Animation
Mengxiang Jing Su,TV,4.8,6,2011,add some
Meng wa,TV,2,5,2017,add some
Meng wa S2,TV,2.67,6,2017,add some
Meow Meow Japanese History,TV,7.75,5,"Apr 05, 2017",Joker Films
Menu x One Piece,SPECIAL,8.51,36,"Apr 18, 2021",
Meow Meow Japanese History,TV,6.66,16,"Apr 06, 2016",Joker Films
Mermaid,MOVIE,7.55,32,"Sep 21, 1964",Mushi Production
Meow Meow Japanese History,TV,8.96,9,"Apr 04, 2018",Joker Films
Merc StoriA: The Apathetic Boy and the Girl in a Bottle,TV,8.35,123,"Oct 11, 2018",Encourage Films
Mermaid Melody: Pichi Pichi Pitch,TV,5.66,255,"Apr 05, 2003",Actas
Mermaid Forest,OVA,7.56,14,"Aug 16, 1991",Pastel
Mermaid Forest (TV),TV,8.36,49,"Oct 05, 2003",TMS Entertainment
Metal Armor Dragonar,TV,9.06,46,"Feb 07, 1987",Sunrise
Mermaid Melody: Pichi Pichi Pitch Pure,TV,3.88,175,"Apr 03, 2004",Actas
Mermaid's Scar,OVA,7.6,15,"Sep 24, 1993",Madhouse
Metal Skin Panic MADOX-01,OVA,7.49,22,"Dec 15, 1987",AIC
Metal Fight Beyblade VS Taiyou: Shakunetsu no Shinryakusha Sol Blaze,MOVIE,7.65,31,"Aug 21, 2010",SynergySP
Metal Fighter Miku,TV,6.57,14,"Jul 08, 1994",J.C.Staff
Metamorphosis,MUSIC,3.95,19,"Jun 21, 2009",add some
Metallions,TV,6,4,"Feb 08, 2019",add some
METAMAN,ONA,8.12,42,"Apr 07, 2020",Congzhuo Animation
METROPOLIS (2009),MOVIE,8.45,11,2009,Mirai Film
Meteor Magic Sword,ONA,7.79,64,"Jan 28, 2021",Suoyi Technology
Metropolis,MOVIE,9.1,157,"May 26, 2001",Madhouse
Mezzo,TV,8.16,50,"Jan 04, 2004",Arms
Mewkledreamy,TV,8.87,208,"Apr 05, 2020",J.C.Staff
Mewkledreamy Mix!,TV,8.28,159,"Apr 11, 2021",J.C.Staff
MFKZ,MOVIE,9.05,310,"Oct 12, 2018",Studio 4°C
Mezzo Forte,OVA,5.87,129,"May 25, 2000",Arms
MF GHOST,TV,8.82,1942,"Oct 02, 2023",Felix Film
Michiko & Hatchin,TV,9.35,459,"Oct 16, 2008",Manglobe
Miami☆Guns,TV,9.21,25,"Feb 05, 2000",Group TAC
Michel,TV,8.33,8,"Jun 06, 2003",DR Movie
Midnight Eye Goku,OVA,7.29,43,"Jan 27, 1989",Madhouse
Micro Teukgongdae Diatron 5,MOVIE,7.5,10,"Jul 20, 1985",add some
Microid S,TV,8.25,10,"Apr 07, 1973",Toei Animation
Midnight Occult Civil Servants OVA,OVA,9.05,45,"Sep 25, 2019",LIDENFILMS
Midnight Eye Goku II,OVA,7.43,28,"Dec 22, 1989",Madhouse
Midnight Occult Civil Servants,TV,8.71,517,"Apr 08, 2019",LIDENFILMS
Midori Days,TV,9,426,"Apr 04, 2004",Pierrot
"Midnight Occult Civil Servants: The Blind Alley, the Boy, and I",OVA,7.76,56,"Nov 22, 2019",LIDENFILMS
Midori,MOVIE,5.2,960,"May 02, 1992",Mippei Eigeki Kiryuukan
Mighty Orbots,TV,7.6,5,"Sep 08, 1984",Tokyo Movie Shinsha
Midori-ko,MOVIE,6.59,18,"Sep 24, 2011",Mistral Japan
Mieruko-chan,TV,9.01,8215,"Oct 03, 2021",Passione
Mignon,ONA,7.01,5990,"Aug 11, 2023",ABJ COMPANY
Mighty Space Miners,OVA,7.4,6,"Nov 11, 1994",Triangle Staff
Migi&Dali,TV,8.04,2045,"Oct 02, 2023",GEEK TOYS
Mikan Enikki,TV,9.75,20,"Oct 16, 1992",Nippon Animation
Mikagura School Suite,TV,4.96,288,"Apr 07, 2015",Doga Kobo
Mikakunin de Shinkoukei: Kamo Nikutte Midori-ppoi Aji ga suru no ne.,OVA,9.31,96,"Mar 28, 2014",Doga Kobo
Miko no Tsutome!,ONA,7.29,66,"Dec 07, 2018",Hololive Production
Mikan Enikki Specials,SPECIAL,9,3,"Aug 24, 1993",Nippon Animation
Mikeneko Holmes no Yuurei Joushu,OVA,9.83,4,"Jul 21, 1992",AIC
Military! Tamatama Shoumetsu Suru Shiroki Hikari,SPECIAL,7.23,14,"Mar 20, 2015",Creators in Pack
MILGRAM,MUSIC,7.53,96,"May 01, 2020",OTOIRO
Military!,TV,8.59,109,"Jan 07, 2015",Creators in Pack
Millennium Actress,MOVIE,9.31,189,"Sep 14, 2002",Madhouse
Milk House Dreaming: Ai no Shiki,OVA,6.53,7,"Nov 28, 1987",Mook Animation
Milky Passion: Dougenzaka - Ai no Shiro,OVA,7.47,24,"Jun 23, 1990",Animation 501
Million Arthur,TV,6.56,298,"Oct 25, 2018",J.C.Staff
Millennium Old Journal: Tale of Genji,TV,7.61,20,"Jan 16, 2009",Tezuka Productions
Millenniums Of Warring States,ONA,8.27,130,"Jul 23, 2022",Oriental Creative Color
Million Doll: Otaku Go Kouza,SPECIAL,3,4,"Nov 20, 2015",Asahi Production
Million Arthur 2,TV,7.87,99,"Apr 04, 2019",J.C.Staff
Million Doll,TV,6.33,13,"Jul 07, 2015",Asahi Production
Mina no Bousai Murazukuri,OVA,7.6,5,2008,add some
MILPOM★,ONA,8.5,7,"Sep 05, 2015",Bandai Namco Pictures
MILPOM★ Pilot,ONA,6.06,11,"Mar 20, 2015",Bandai Namco Pictures
Mina's Village Says Yes! to Waste Management,OVA,8,5,2004,add some
Mina Smiles,OVA,5.62,8,1992,add some
Mina's Village and the Forest,OVA,5.38,8,2000,add some
Minami-ke,TV,8.9,171,"Oct 08, 2007",Daume
Minami Kamakura High School Girls Cycling Club,TV,6.71,249,"Jan 07, 2017",J.C.Staff
Minami Kamakura High School Girls Cycling Club: We're In Taiwan!!,SPECIAL,9.06,13,"May 15, 2017",J.C.Staff
Minami-ke: Betsubara,OVA,9.76,9,"Jun 23, 2009",asread.
Minami-ke Natsuyasumi,OVA,9.73,7,"Aug 06, 2013",feel.
Minami-ke Tadaima,TV,9.5,62,"Jan 06, 2013",feel.
Minami-ke: Omatase,OVA,9.83,18,"Oct 05, 2012",feel.
Minami-ke: Okaeri,TV,9.05,48,"Jan 05, 2009",asread.
Minami-ke: Okawari,TV,8.79,71,"Jan 07, 2008",asread.
Mini Hama,TV,9.63,10,"Nov 01, 2015",Lerche
minamo,MOVIE,5.09,11,"Sep 17, 2003",Mirai Film
Mind Game,MOVIE,8.64,109,"Aug 07, 2004",Studio 4°C
Mini Moni Yaru no da Pyon!,TV,8.22,8,"Jun 04, 2001",add some
Mini Hama Movie,MOVIE,6.14,8,"Nov 14, 2015",Lerche
Mini Moni,TV,6,7,"Sep 08, 2003",add some
Mini Sengoku BASARA: Chousokabe-kun to Mouri-kun,SPECIAL,5.5,3,"Jul 01, 2009",Production I.G
Mini Pato,MOVIE,8.97,11,"Mar 30, 2002",Production I.G
Mini Sengoku BASARA Two: Tsukiyo no Katakura-kun,SPECIAL,5,3,"Oct 06, 2010",Production I.G
Mini Van Special,SPECIAL,9.25,3,"Jun 18, 2013",DLE
Mini Toji: Yume,SPECIAL,7,4,"May 24, 2019",Project No.9
Mini Van,TV,6.42,6,"Apr 06, 2013",DLE
Mini Yuri,ONA,9.12,58,"Sep 25, 2019",W-Toon Studio
mini vanguard Large,ONA,5.1,27,"Jun 07, 2021",OLM
Mini Yon Soldier Rin!,OVA,9,3,"Nov 16, 1989",add some
Minky Momo in Tabidachi no Eki,OVA,9.2,7,"Jun 22, 1994",add some
Miniforce,TV,8.64,14,Aug 2014,SAMG Entertainment
Miniforce: Super Dino Power,TV,4.86,14,2019,SAMG Entertainment
Minna Agechau,OVA,7.56,70,"Mar 27, 1987",J.C.Staff
Minky Momo in the Bridge Over Dreams,OVA,9.44,5,"May 21, 1993",Asahi Production
Minky Momo vs. Creamy Mami,MOVIE,8.08,9,"Aug 03, 1985",Pierrot
Minna to Manner wo Manabou,MOVIE,8.23,13,"Feb 09, 2016",add some
Minna Atsumare! Falcom Gakuen,TV,7.42,40,"Jan 05, 2014",DAX Production
Minna Atsumare! Falcom Gakuen SC,TV,7.03,27,"Jan 04, 2015",DAX Production
Miracle Train: Welcome to the Oedo Line,TV,7.85,21,"Oct 05, 2009",Yumeta Company
Minori Scramble!,OVA,8,3,"Feb 15, 2012",ufotable
Miracle Shoujo Limit-chan,TV,5.75,4,"Oct 01, 1973",Toei Animation
Mirage of Blaze (2004),OVA,6.97,62,"Jul 28, 2004",Madhouse
Miracle☆Girls,TV,8.1,27,"Jan 08, 1993",Japan Taps
Mirage of Blaze,TV,7.5,123,"Jan 07, 2002",Madhouse
Mirai no Watashi,ONA,8.91,23,"Mar 15, 2016",Studio Colorido
Mirage QUEEN Prefers Circus,OVA,7.38,13,"Jun 17, 2022",East Fish Studio
Mirai,MOVIE,8.91,335,"Jul 20, 2018",Studio Chizu
Miru Tights: Cosplay Photoshoot Tights,SPECIAL,8.51,160,"Aug 23, 2019",Yokohama Animation Lab
Mirmo Zibang!,TV,8.01,137,"Apr 06, 2002",Studio Hibari
Miru Tights,ONA,8.47,1103,"May 11, 2019",Yokohama Animation Lab
Miss Caretaker of Sunohara-sou,TV,8.88,1857,"Jul 05, 2018",Silver Link.
Misaki Chronicle: Divergence Eve,TV,8.12,37,"Jan 03, 2004",Radix
Miss Bernard said.,TV,7.16,39,"Oct 07, 2016",Creators in Pack
Miss Kobayashi's Dragon Maid,TV,9.25,5073,"Jan 12, 2017",Kyoto Animation
Miss Cinterrier's Groom,MOVIE,5.45,14,1954,add some
Miss Hokusai,MOVIE,9.04,71,"May 09, 2015",Production I.G
Miss Kobayashi's Dragon Maid S: Miniature Dragon EX,SPECIAL,9.23,375,"Jul 08, 2021",Kyoto Animation
Miss Kobayashi's Dragon Maid S,TV,9.31,6329,"Jul 08, 2021",Kyoto Animation
Miss Kobayashi's Dragon Maid S: Miniature Dragon,ONA,9.28,704,"Apr 07, 2021",Kyoto Animation
Miss Kobayashi’s Dragon Maid S: Japanese Hospitality (The Attendant Is a Dragon),SPECIAL,9.39,475,"Jan 19, 2022",Kyoto Animation
Miss Kobayashi's Dragon Maid: Valentines and Hot Springs! (Please Don't Get Your Hopes Up),SPECIAL,9.28,596,"Sep 20, 2017",Kyoto Animation
Miss Kobayashi's Dragon Something,SPECIAL,9.11,465,"Mar 15, 2017",Kyoto Animation
Miss Monochrome - The Animation,TV,8.48,43,"Oct 02, 2013",SANZIGEN
Miss KUROITSU from the Monster Development Department,TV,8.45,773,"Jan 09, 2022",Quad
Miss Machiko,TV,8.5,69,"Oct 08, 1981",Pierrot
Miss Monochrome The Animation: Soccer-hen,ONA,8,12,"Jun 17, 2014",SANZIGEN
Miss Monochrome - The Animation - 2,TV,8.89,33,"Jul 03, 2015",SANZIGEN
Miss Monochrome - The Animation - 3,TV,9.29,23,"Oct 02, 2015",SANZIGEN
Miss Shachiku and the Little Baby Ghost,TV,8.79,725,"Apr 07, 2022",Project No.9
Miss Monochrome: MANAGER,OVA,7,7,"May 25, 2014",SANZIGEN
Miss Monochrome: Music Clips,ONA,9.32,23,"Sep 07, 2016",Starchild Records
Mister Ajikko,TV,8.65,58,"Oct 08, 1987",Sunrise
Mission School,MUSIC,7.11,17,"Nov 22, 2006",Ajia-Do
MISSION-E,TV,9.08,17,"Jul 08, 2008",Studio Deen
Mitaiken HORIZON,MUSIC,7.32,9,"Sep 25, 2019",Sunrise
Mister Ajikko Special,SPECIAL,4.75,5,"Feb 09, 1989",Sunrise
Mistin,TV,8.64,13,"Oct 13, 2001",OLM
Mitsudomoe,TV,9.13,248,"Jul 03, 2010",Bridge
Mitchiri Neko,TV,8.85,46,"Jan 04, 2018",helo.inc
Mitsuboshi Colors,TV,9.46,243,"Jan 07, 2018",Silver Link.
Mitsume ga Tooru,TV,7.06,21,"Oct 18, 1990",Tezuka Productions
Mitsudomoe Zouryouchuu!,TV,9.61,80,"Jan 09, 2011",Bridge
Mitsudomoe: OPPAI IPPAI Mama Genki,SPECIAL,8.64,33,"Feb 23, 2011",Bridge
Mix Master: Final Force,TV,8.49,33,"May 26, 2010",Sunwoo Entertainment
Mitsuwano,OVA,7.2,7,"Mar 12, 2014",Zexcs
MIX,TV,8.76,186,"Apr 06, 2019",OLM
Miyanishi Tatsuya Gekijou: Omae Umasou da na,TV,7.72,11,"Oct 04, 2010",Ajia-Do
Mix Master: King of Cards,TV,8.89,15,"Oct 04, 2005",Nippon Animation
MIX MEISEI STORY Season2,TV,8.15,187,"Apr 01, 2023",OLM
Miyuki,TV,7.95,17,"Mar 31, 1983",Kitty Film Mitaka Studio
Miyazawa Kenji Collection - The Acorns and the Wildcat,OVA,7.31,7,"Sep 30, 1988",Madhouse
Miyori's Forest,SPECIAL,8.99,33,"Aug 25, 2007",Nippon Animation
Mizuiro Jidai,TV,8.22,24,"Apr 04, 1996",Studio Comet
Miyuki-chan In Wonderland,OVA,5.76,47,"Jun 21, 1995",Animate Film
Mizuiro (2003),OVA,8.61,8,"Apr 25, 2003",OLM
MM! Hidden Camera Shorts,SPECIAL,8.52,100,"Dec 22, 2010",Xebec
Mizushiri Yoriko no Yorinuki Yoriko-san,MOVIE,7.29,14,2009,add some
MM!,TV,8.29,445,"Oct 02, 2010",Xebec
Mob Psycho 100 II: The First Spirits and Such Company Trip ~A Journey that Mends the Heart and Heals the Soul~,OVA,9.2,320,"Sep 25, 2019",Bones
Mob Psycho 100,TV,8.75,7591,"Jul 11, 2016",Bones
Mob Psycho 100 II,TV,9.17,8116,"Jan 07, 2019",Bones
Mob Psycho 100: Manga Volume Release Commemoration Anime,SPECIAL,6.95,161,2013,add some
Mob Psycho 100 III,TV,8.97,10852,"Oct 06, 2022",Bones
Mob Psycho 100 REIGEN The Miraculous Unknown Psychic,SPECIAL,8.55,219,"Mar 18, 2018",Bones
Mobile Police Patlabor,OVA,9.25,82,"Apr 25, 1988",Studio Deen
Mob Psycho mini,SPECIAL,8.24,231,"Sep 28, 2016",Bones
Mobile Fighter G Gundam,TV,9.17,323,"Apr 01, 1994",Sunrise
Mobile Police Patlabor: The New Files,OVA,9.39,42,"Nov 22, 1990",Sunrise
Mobile Police Patlabor 2: The Movie,MOVIE,9.45,98,"Aug 07, 1993",Production I.G
Mobile Police Patlabor REBOOT,MOVIE,8.3,48,"Oct 15, 2016",Khara
Mobile Suit Gundam,TV,8.82,461,"Apr 07, 1979",Sunrise
Mobile Police Patlabor: WXIII,MOVIE,7.9,47,"Mar 30, 2002",Madhouse
Mobile Suit Academy: The Return of 'G-Reco Koushien',SPECIAL,5.05,12,"Jan 17, 2020",add some
Mobile Suit Gundam 00 Special Edition,OVA,8.57,32,"Oct 27, 2009",Sunrise
Mobile Suit Gundam 00,TV,9.08,427,"Oct 06, 2007",Sunrise
Mobile Suit Gundam 00 Second Season,TV,8.84,283,"Oct 05, 2008",Sunrise
Mobile Suit Gundam 0083: Stardust Memory,OVA,8.23,171,"May 23, 1991",Sunrise
Mobile Suit Gundam 00 the Movie: A Wakening of the Trailblazer,MOVIE,8.68,157,"Sep 18, 2010",Sunrise
Mobile Suit Gundam 0080: War in the Pocket,OVA,8.92,144,"Mar 25, 1989",Sunrise
Mobile Suit Gundam 0083: The Afterglow Of Zeon,MOVIE,8.27,20,"Aug 29, 1992",Sunrise
Mobile Suit Gundam 0083: Stardust Memory - Mayfly of Space,SPECIAL,7.04,21,1992,Sunrise
Mobile Suit Gundam 0083: Stardust Memory - Mayfly of Space 2,SPECIAL,8.36,10,"Jan 29, 2016",Sunrise
Mobile Suit Gundam Battlefield Record: Avant-Title,ONA,7.37,9,"Sep 03, 2009",Sunrise
Mobile Suit Gundam AGE,TV,8,163,"Oct 09, 2011",Sunrise
Mobile Suit Gundam AGE: Memory of Eden,OVA,6.81,19,"Jul 26, 2013",Sunrise
Mobile Suit Gundam Hathaway,MOVIE,8.99,374,"Jun 11, 2021",Sunrise
Mobile Suit Gundam F91,MOVIE,8.14,76,"Mar 16, 1991",Sunrise
Mobile Suit Gundam G40,ONA,7.51,42,"Jan 01, 2020",GEMBA
Mobile Suit Gundam III: Encounters in Space,MOVIE,8.54,53,"Mar 13, 1982",Sunrise
Mobile Suit Gundam I,MOVIE,8.43,97,"Mar 14, 1981",Sunrise
Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,7.81,36,"Jul 11, 1981",Sunrise
Mobile Suit Gundam MS IGLOO 2: Gravity of the Battlefront,OVA,7.35,37,"Oct 24, 2008",Sunrise
Mobile Suit GUNDAM Iron Blooded Orphans,TV,9.25,994,"Oct 04, 2015",Sunrise
Mobile Suit GUNDAM Iron Blooded Orphans 2,TV,9.19,1121,"Oct 02, 2016",Sunrise
Mobile Suit Gundam Narrative,MOVIE,7.81,178,"Nov 30, 2018",Sunrise
Mobile Suit Gundam MS IGLOO: Apocalypse 0079,OVA,7.03,41,"Apr 26, 2006",Sunrise
Mobile Suit Gundam MS IGLOO: The Hidden One Year War,OVA,7.09,46,"Jul 19, 2004",Sunrise
Mobile Suit Gundam Seed Destiny,TV,8.22,326,"Oct 09, 2004",Sunrise
Mobile Suit Gundam Seed,TV,8.83,448,"Oct 05, 2002",Sunrise
Mobile Suit Gundam Seed C.E.73: Stargazer,ONA,7.66,34,"Jul 14, 2006",Sunrise
Mobile Suit Gundam Seed MSV Astray,OVA,6.58,19,"Mar 01, 2004",Sunrise
Mobile Suit Gundam Seed Destiny Final Plus: The Chosen Future,OVA,6.94,23,"Dec 25, 2005",Sunrise
Mobile Suit Gundam Seed Destiny Special Edition,SPECIAL,8.15,23,"May 02, 2006",Sunrise
Mobile Suit Gundam Thunderbolt,ONA,9.55,131,"Dec 25, 2015",Sunrise
Mobile Suit Gundam Seed Special Edition,SPECIAL,7.2,24,"Aug 27, 2004",Sunrise
Mobile Suit Gundam Seed: After-Phase Between the Stars,SPECIAL,7.68,28,"Mar 26, 2004",Sunrise
Mobile Suit Gundam Thunderbolt: December Sky,MOVIE,8.97,116,"Jun 25, 2016",Sunrise
Mobile Suit Gundam Thunderbolt 2,ONA,8.46,69,"Mar 24, 2017",Sunrise
Mobile Suit Gundam Thunderbolt: Bandit Flower,MOVIE,8.26,74,"Nov 18, 2017",Sunrise
MOBILE SUIT GUNDAM UNICORN RE:0096,TV,8.92,137,"Apr 03, 2016",Sunrise
Mobile Suit Gundam UC,OVA,9.19,224,"Mar 12, 2010",Sunrise
Mobile Suit Gundam UC: A Phantom World,SPECIAL,4.59,28,"Mar 26, 2016",Sunrise
Mobile Suit Gundam Wing: Endless Waltz,MOVIE,8.71,61,"Aug 01, 1998",Sunrise
Mobile Suit Gundam Unicorn: Episode EX - 100 Years of Solitude,SPECIAL,7.33,27,"May 17, 2014",Sunrise
Mobile Suit Gundam Wing,TV,8.88,320,"Apr 07, 1995",Sunrise
Mobile Suit Gundam ZZ,TV,7.74,230,"Mar 01, 1986",Sunrise
Mobile Suit Gundam Wing: Endless Waltz,OVA,8.36,31,"Jan 25, 1997",Sunrise
Mobile Suit Gundam Wing: Operation Meteor,OVA,7.66,17,"Apr 25, 1996",Sunrise
Mobile Suit Gundam: Char's Counterattack,MOVIE,8.9,119,"Mar 12, 1988",Sunrise
Mobile Suit Gundam ZZ: Gundam Frag.,OVA,6,30,"Sep 25, 2009",Sunrise
Mobile Suit Gundam-san,TV,7.06,32,"Jul 06, 2014",Sunrise
Mobile Suit Gundam: The 08th MS Team - Battle in Three Dimensions,SPECIAL,8.77,26,"Feb 22, 2013",Sunrise
Mobile Suit Gundam: Cucuruz Doan's Island,MOVIE,8.7,172,"Jun 03, 2022",Sunrise
Mobile Suit Gundam: The 08th MS Team,OVA,9.05,204,"Jan 25, 1996",Sunrise
Mobile Suit Gundam: The Origin - Advent of the Red Comet,TV,8.63,144,"Apr 29, 2019",Sunrise
Mobile Suit Gundam: The 08th MS Team - Miller's Report,MOVIE,7.64,18,"Aug 01, 1998",Sunrise
Mobile Suit Gundam: The Origin,OVA,9.16,247,"Feb 28, 2015",Sunrise
Mobile Suit Gundam: The Witch from Mercury Cradle Planet,SPECIAL,8.54,107,2023,Sunrise
Mobile Suit Gundam: The Witch from Mercury,TV,8.55,2915,"Oct 02, 2022",Sunrise
Mobile Suit Gundam: The Witch from Mercury - PROLOGUE,SPECIAL,9.08,1035,"Jul 14, 2022",Sunrise
Mobile Suit SD Gundam Festival,MOVIE,9,5,"Mar 13, 1993",Sunrise
Mobile Suit Gundam: The Witch from Mercury Season 2,TV,8.92,2556,"Apr 09, 2023",Sunrise
MOBILE SUIT GUNDAM: Twilight AXIS,ONA,7.23,41,"Jun 23, 2017",Sunrise
Mobile Suit SD Gundam Mk-III,OVA,7.76,9,"Mar 23, 1990",Sunrise
Mobile Suit SD Gundam Mk-I,SPECIAL,7.62,21,"Mar 12, 1988",Sunrise
Mobile Suit SD Gundam Mk-II,OVA,8.25,13,"Jun 25, 1989",Sunrise
Mobile Suit SD Gundam's Counterattack,OVA,7.25,13,"Jul 15, 1989",Sunrise
Mobile Suit SD Gundam Mk-IV,OVA,5.94,8,"Sep 25, 1990",Sunrise
Mobile Suit SD Gundam Mk-V,OVA,8.08,11,"Oct 25, 1990",Sunrise
Mobile Suit Zeta Gundam: A New Translation I - Heir to the Stars,MOVIE,7.44,31,"May 28, 2005",Sunrise
Mobile Suit Victory Gundam,TV,6.99,178,"Apr 02, 1993",Sunrise
Mobile Suit Zeta Gundam,TV,8.93,441,"Mar 02, 1985",Sunrise
Mochibei,MOVIE,6.92,120,2005,add some
Mobile Suit Zeta Gundam: A New Translation II - Lovers,MOVIE,7.94,16,"Oct 29, 2005",Sunrise
Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,MOVIE,8.52,19,"Mar 04, 2006",Sunrise
MODERN No.2,MOVIE,7.27,24,2011,Mirai Film
Modern Love Tokyo,ONA,9.15,528,2023,
Modern Magic Made Simple,TV,8.18,38,"Jul 12, 2009",Nomad
Moeru! Onii-san (OVA),OVA,9.33,5,"Jul 01, 1989",Pierrot
"Modest Heroes: Ponoc Short Films Theatre, Volume 1",MOVIE,7.91,55,"Aug 24, 2018",Studio Ponoc
Moekan THE ANIMATION,OVA,4.1,13,"Dec 19, 2003",KSS
Moeyo Ken,TV,7.8,16,"Jul 02, 2005",Trinet Entertainment
Moetan,TV,8.68,74,"Jul 09, 2007",Actas
Moetan Specials,SPECIAL,8.1,13,"Dec 21, 2007",Actas
MOGU MOGU YUMMY!,MUSIC,8.55,29,"Feb 22, 2021",Hololive Production
Moeyo Ken,OVA,6.67,3,"Nov 19, 2003",Trinet Entertainment
Moffun to Issho,ONA,9.17,23,"Jun 04, 2023",add some
Mokke,TV,8.44,42,"Oct 03, 2007",Tezuka Productions
Mojakou,TV,8.44,10,"Oct 03, 1995",OLM
Mokei Senshi Gunpla Builders Beginning G,SPECIAL,7.79,19,"Aug 15, 2010",Sunrise
Momo Kyun Sword,TV,7.72,94,"Jul 09, 2014",Project No.9
Mokke Special Episodes,SPECIAL,10,2,"Jan 25, 2008",Madhouse
Moldiver,OVA,7.37,12,"Feb 25, 1993",AIC
Momoiro Sisters,TV,7.45,14,"Aug 26, 1998",Studio Deen
"Momo, the Girl God of Death",TV,8.65,41,"Mar 03, 2006",Group TAC
