Title,Type,Rating,Vote Count,Start Date,Studio
A Chinese Ghost Story: The Tsui Hark Animation,MOVIE,6.77,17,"Jul 31, 1997",Triangle Staff
A Certain Scientific Railgun T,TV,8.76,1283,"Jan 10, 2020",J.C.Staff
A Child's Metaphysics,ONA,8.12,14,"Oct 20, 2007",Yamamura Animation
A Couple of Cuckoos,TV,8.55,7174,"Apr 24, 2022",SynergySP
A Christmas Adventure,TV,6,7,"Oct 05, 1984",Shaft
A Clerk in Charge,MOVIE,7.52,14,2004,add some
A Day Before Us,ONA,8.77,406,"Jan 12, 2018",LICO
A Dark Rabbit has Seven Lives,TV,8.2,333,"Jul 09, 2011",Zexcs
A Dark Rabbit has Seven Lives OVA,OVA,8.91,38,"Dec 05, 2011",Zexcs
A Deer of Nine Colors,MOVIE,6.58,9,1981,Shanghai Animation Film Studio
A Day Before Us 2nd Season,ONA,8.92,374,"Mar 30, 2018",LICO
A Day Before Us ZERO,ONA,8.63,221,"May 10, 2018",LICO
A Dog of Flanders,TV,7.69,26,"Jan 05, 1975",Nippon Animation
A Destructive God Sits Next to Me,TV,8.73,398,"Jan 11, 2020",EMT Squared
A Disguised Princess,ONA,5.41,50,?,
A Feather Stare at the Dark,MOVIE,4.06,28,2003,add some
A Dog's Courage,MOVIE,6.89,17,"Jul 12, 2018",Odolttogi
A Favorite Marriage is Coming,ONA,7.15,28,?,
A Galaxy Next Door,TV,8.6,4718,"Apr 09, 2023",Asahi Production
A Festival Between Worlds,ONA,9.31,17,?,
A Foreign Love Affair,OVA,7.93,366,"Dec 21, 2007",PrimeTime
A Girl Who’s Afraid Of Touching People,MOVIE,6.14,28,"Jun 17, 2019",add some
A Game Between You and Me,ONA,5.77,14,?,
A Girl & Her Guard Dog,TV,7.56,2213,"Sep 29, 2023",Project No.9
A Grandma's Goldfish,ONA,9.17,19,"Oct 28, 2012",add some
A Good Librarian Like a Good Shepherd,TV,9.13,949,"Oct 09, 2014",Hoods Entertainment
A Good Librarian Like a Good Shepherd Picture Drama,SPECIAL,7.86,39,"Dec 25, 2014",Hoods Entertainment
"A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized [Chinese Dub]",ONA,8.64,500,"Jul 29, 2022",Studio LAN
A Grandma's Goldfish,ONA,6.49,19,"Oct 10, 2021",
"A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized",ONA,8.11,604,"Jul 30, 2022",LAN Studio
A Journey Through Fairyland,MOVIE,6.15,12,"Oct 26, 1985",Sanrio
A Japanese Boy Who Draws,MOVIE,7.35,48,"Mar 02, 2019",Nekonigashi Inc.
A Jewish Girl in Shanghai,MOVIE,4.79,15,May 2010,Shanghai Animation Film Studio
A Komaneko Christmas: The Lost Present,MOVIE,8.62,5,"Nov 07, 2009",dwarf
A Journey to Hiroshima,OVA,3.25,4,"Jul 20, 1994",Toei Animation
A Kiss For The Petals: Risa x Miya Theater,ONA,4.81,87,"Nov 09, 2012",ChuChu
A Little Snow Fairy Sugar,TV,9.33,38,"Oct 03, 2001",J.C.Staff
A Letter to Momo,MOVIE,9.41,177,"Apr 21, 2012",Production I.G
A Little Princess Sara,TV,8.78,106,"Jan 06, 1985",Nippon Animation
A Mortal's Journey: The Beginning,ONA,8.76,167,"Oct 11, 2020",Original Force
A Little Snow Fairy Sugar OVA,SPECIAL,7.07,10,"Aug 21, 2003",J.C.Staff
A Log Day of Timbre,ONA,5.37,22,"Feb 25, 2011",add some
A Place Further Than the Universe,TV,9.36,1554,"Jan 02, 2018",Madhouse
A New Journey,ONA,6.78,98,"Jan 18, 2019",P.A. Works
a piece of PHANTASMAGORIA,OVA,6.89,15,1995,Tamura Shigeru Studio
A Playthrough of a Certain Dude's VRMMO Life,TV,7.36,3206,"Oct 03, 2023",Maho Film
A Place Where There Are Moths,MOVIE,7.1,16,2001,add some
A playboy of exorcist,ONA,3.07,44,?,
A Portrait of Jianghu: Mourning Toast,ONA,6.95,69,"Dec 07, 2016",Rocen
A Poet's Life,MOVIE,8.58,25,"Jan 01, 1974",add some
A Portrait Of Jianghu: Bad Guys,ONA,3.91,233,"Jul 31, 2014",Rocen
A Record Of Mortal's Journey To Immortality,ONA,8.38,437,"Jul 25, 2020",Original Force
A Predator in a Skirt,ONA,6.57,363,"Jul 03, 2017",Magic Bus
A Record of a Mortal's Journey to Immortality Season 2,ONA,9.08,543,"Nov 14, 2021",Original Force
A Ripple in Time,ONA,7.28,40,"Feb 12, 2022",OLM Team Kato
A Record of Mortal's Journey to Immortality: Speeding in the Sea of Stars,ONA,9.13,294,"Jul 30, 2023",Original Force
A Returner's Magic Should Be Special,TV,8.1,4709,"Oct 08, 2023",Arvo Animation
A Sheep In Wolf's Clothing,ONA,4.79,135,"Apr 18, 2023",Gen Long Culture
A Rule Of Dreams,MOVIE,6.62,40,1995,add some
A Sea Doesn't Tell Much,MOVIE,6.57,21,2008,add some
A Sister's All You Need.,TV,8.75,1646,"Oct 08, 2017",Silver Link.
A Silent Voice,MOVIE,9.41,13940,"Sep 17, 2016",Kyoto Animation
A Silent Voice Specials,SPECIAL,9.4,436,"May 17, 2017",Kyoto Animation
A Spirit of the Sun,SPECIAL,9.76,13,"Sep 17, 2006",Madhouse
A Smart Experiment,SPECIAL,6.41,20,2006,add some
A song for You! You? You!!,MUSIC,8.64,35,"Mar 25, 2020",Sunrise
A Summer-Colored Miracle,TV,9.04,44,"Apr 06, 2012",Sunrise
A stone-moving quack :The princess wants a divorce,ONA,6.38,9,?,
A Story of Cigarettes,MOVIE,7.92,12,1926,add some
A Thousand and One Nights,MOVIE,5.48,54,"Jun 14, 1969",Mushi Production
A Tale From The Orient,MOVIE,4.14,14,"Oct 01, 2015",add some
A Thirty-Year Old's Health and Physical Education,TV,9,202,"Apr 07, 2011",Gathering
A Town Where You Live: Crossing at Twilight,OVA,9.02,58,"Mar 16, 2012",Tatsunoko Production
A Time Slip of 10000 Years: Prime Rose,SPECIAL,6,9,"Aug 21, 1983",Tezuka Productions
A Town Where You Live,TV,7.27,634,"Jul 13, 2013",Gonzo
A Whisker Away,MOVIE,8.87,1688,"Jun 18, 2020",Studio Colorido
A Traveller's Diary,ONA,8.81,23,"Mar 19, 2003",Robot
A Tree of Palme,MOVIE,8.79,26,"Mar 16, 2002",Palm Studio
A Will Eternal 2nd Season,ONA,9.03,1022,"Jul 20, 2022",B.CMAY PICTURES
A Whistle,MOVIE,6.9,12,2002,add some
A Will Eternal,ONA,8.9,1469,"Aug 12, 2020",B.CMAY PICTURES
A World Worth Protecting,ONA,4.89,65,"Aug 11, 2022",Foch Films
A Wind Named Amnesia,MOVIE,8.78,62,"Dec 22, 1990",Madhouse
A Wonderful Present,ONA,9.29,100,?,
A-Channel: A-Channel+smile,OVA,8.49,34,"Mar 21, 2012",Studio Gokumi
A-Channel,TV,8.85,124,"Apr 08, 2011",Studio Gokumi
A-Channel: +A-Channel,SPECIAL,8.14,42,"May 25, 2011",Studio Gokumi
A.D. Police Files,OVA,8.31,58,"May 25, 1990",AIC
A-Channel: Let's Eat Hot Pot,SPECIAL,8.69,32,"Sep 27, 2017",Studio Gokumi
A-Girl,OVA,6.67,26,"Sep 24, 1993",Madhouse
A.I.C.O. -Incarnation-,ONA,6.98,319,"Mar 09, 2018",Bones
A.D. Police: To Protect and Serve,TV,8.36,22,"Apr 08, 1999",Plum
Ａ.Ｆ,SPECIAL,5.69,9,"Sep 06, 2002",add some
A3! Season Spring & Summer,TV,8.53,244,"Jan 14, 2020",Studio 3Hz
A.LI.CE,MOVIE,7.12,9,"Feb 05, 2000",GAGA
A3! Season Autumn & Winter,TV,9.16,135,"Oct 13, 2020",Studio 3Hz
Abashiri Ikka,OVA,4.93,23,"May 21, 1991",Pierrot
Aa Harimanada,TV,8.35,13,"Apr 23, 1992",E&G Films
Aachi & Ssipak,MOVIE,8.72,22,"Jun 28, 2006",add some
Absolute Duo,TV,7.87,1743,"Jan 04, 2015",8bit
ABCiee Working Diary,TV,8.71,43,"Jan 07, 2021",Fanworks
Abducted King Lanling as Movie Emperor,ONA,7.32,23,?,
ACCA: 13-Territory Inspection Dept.,TV,9.11,438,"Jan 10, 2017",Madhouse
ABUNAI SISTERS: KOKO & MIKA,OVA,5.45,270,"Jan 15, 2009",Production I.G
ACCA: 13-ku Kansatsu-ka Specials,SPECIAL,9.12,41,"Apr 21, 2017",Madhouse
Accel World EX,OVA,8.78,104,"Sep 13, 2012",Sunrise
ACCA: 13-Territory Inspection Dept. - Regards,OVA,9.45,61,"Feb 14, 2020",Madhouse
